stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,wheelchair_boarding
97,NCBAT1,Batterie / Princesse Grâce,43.688417,7.306748,,0,place_096669,,1
98,BAVAS9,Bavastro,43.700934,7.285879,,0,place_096670,,0
99,BAVAS0,Bavastro,43.701442,7.28424,,0,place_096670,,0
100,PSOLA8,Pierre Sola,43.707063,7.287007,,0,place_PSOLA,,0
101,BEARN4,Béarn,43.707846,7.276185,,0,place_096671,,0
102,BEARN9,Béarn,43.708525,7.275922,,0,place_096671,,0
103,BESIT7,Beau Site,43.700452,7.247481,,0,place_096672,,1
104,BESIT8,Beau Site,43.700438,7.247401,,0,place_096672,,1
105,BTERO9,Beau Terron,43.69215,7.220543,,0,place_BTERO,,0
107,BOREG5,Beauregard,43.715677,7.24825,,0,place_096674,,0
108,BOREG6,Beauregard,43.715766,7.247817,,0,place_096674,,0
109,BELLA3,Bella Vista,43.732774,7.269307,,0,place_096675,,1
110,BEAZU9,Bell'azur,43.717353,7.250948,,0,place_096676,,0
111,NICOI3,Belle Niçoise,43.699656,7.223144,,0,place_096677,,0
112,NICOI4,Belle Niçoise,43.69994,7.222699,,0,place_096677,,0
113,BELLE8,Belle Rive,43.694248,7.295927,,0,place_096678,,0
114,BELLE1,Belle Rive,43.694355,7.295899,,0,place_096678,,0
115,BELLO6,Bello Sguardo,43.738915,7.272907,,0,place_096680,,0
116,BELOS8,Bello Sguardo,43.738743,7.273116,,0,place_096680,,0
117,BISCH7,Bischoffsheim,43.705922,7.291451,,0,place_099395,,1
118,BISCH3,Bischoffsheim,43.706012,7.291692,,0,place_099395,,1
119,BISCU5,Biscuiterie,43.707013,7.231973,,0,place_096684,,1
120,BISCU8,Biscuiterie,43.707422,7.231416,,0,place_096684,,1
121,BLANC1,Blanchisserie,43.700103,7.238158,,0,place_096685,,1
122,BLANC2,Blanchisserie,43.700467,7.237693,,0,place_096685,,1
123,RIVAG1,Bleu Rivage,43.694202,7.28787,,0,place_096686,,1
124,RIVAG2,Bleu Rivage,43.694158,7.287871,,0,place_096686,,1
125,BLEUE9,Bleuets,43.715229,7.277919,,0,place_096687,,0
126,BLEUE6,Bleuets,43.715364,7.278216,,0,place_096687,,0
127,BOISB0,Bois de Boulogne,43.672365,7.201984,,0,place_096688,,1
128,BOISB7,Bois de Boulogne,43.673027,7.202101,,0,place_096688,,1
131,BOICY2,Bois de Cythère,43.706519,7.248162,,0,place_096689,,0
132,NCBOI1,Bois Sacré,43.747928,7.298866,,0,place_096690,,0
133,NCBOI2,Bois Sacré,43.747948,7.298998,,0,place_096690,,0
134,BONVO1,Bon Voyage,43.731471,7.289161,,0,place_096691,,1
135,BONV21,Bon Voyage,43.731731,7.289795,,0,place_096691,,1
136,BONA8,Bona,43.733618,7.217448,,0,place_096692,,0
137,BONA9,Bona,43.733283,7.216938,,0,place_096692,,0
138,BORN25,La Bornala,43.693808,7.238911,,0,place_096970,,1
139,BORNA6,La Bornala,43.694928,7.237191,,0,place_096970,,1
140,BOUGA5,Bougainvilliers,43.690589,7.235195,,0,place_096694,,0
141,BOUGA9,Bougainvilliers,43.690651,7.235227,,0,place_096694,,0
142,BOULA9,Boulangerie / Oliviers,43.722707,7.232558,,0,place_096696,,0
143,BOUL30,Boulangerie / Oliviers,43.722287,7.232833,,0,place_096696,,0
144,BOULA0,Boulangerie,43.695813,7.235145,,0,place_100176,,1
145,BOULA1,Boulangerie,43.695398,7.236027,,0,place_100176,,1
146,BOUTO4,Boutonnerie,43.705804,7.232898,,0,place_096698,,1
147,BOUTO9,Boutonnerie,43.705452,7.232949,,0,place_096698,,1
148,BOYER8,Boyer,43.701978,7.282343,,0,place_BOYER,,0
149,BOYER1,Boyer,43.702607,7.280515,,0,place_BOYER,,0
150,BRACO3,Braco,43.719477,7.223501,,0,place_096700,,0
151,BRACO4,Braco,43.719581,7.223423,,0,place_096700,,0
152,BRAMO0,Brin d'Amour,43.71659,7.252085,,0,place_096701,,0
153,BRUN6,Brun,43.695069,7.238685,,0,place_096702,,0
154,BRUN7,Brun,43.694954,7.238879,,0,place_096702,,0
157,CGE2,C.G.E,43.706673,7.209294,,0,place_096704,,0
158,CGE1,C.G.E,43.707199,7.210059,,0,place_096704,,1
159,CP1,CP,43.710484,7.25347,,0,place_096805,,0
160,ECPAM7,CPAM Entrée,43.72012,7.242568,,0,place_ECPAM,,0
166,CAL8,Cal de Spagnol / Soubran,43.695948,7.205597,,0,place_096709,,0
167,CAL9,Cal de Spagnol / Soubran,43.695642,7.205563,,0,place_096709,,0
170,CANTA8,Canta Galet,43.719322,7.217971,,0,place_096712,,1
171,CANTA9,Canta Galet,43.719355,7.217863,,0,place_096712,,1
172,CAPBE0,Cap Bellet,43.696784,7.23902,,0,place_096713,,0
173,CAPBE1,Cap Bellet,43.696512,7.239141,,0,place_096713,,1
175,CARLO7,Carlone / Madeleine,43.694103,7.243549,,0,place_CARLM,,1
176,CARL96,Carlone / Madeleine,43.694205,7.243388,,0,place_CARLM,,1
177,CARLO4,Carlone,43.693731,7.242268,,0,place_CARLON,,0
178,CARLO6,Carlone,43.693676,7.242611,,0,place_CARLON,,0
179,CARNO9,Carnot,43.698213,7.287856,,0,place_096719,,0
181,NCCRB1,Caroubier,43.714518,7.296893,,0,place_096721,,0
182,NCCRB2,Caroubier,43.714552,7.296759,,0,place_096721,,0
183,CARRA8,Carras / Saint-Augustin,43.679765,7.22936,,0,place_096725,,1
188,NCCAR2,Carré 13,43.744971,7.29859,,0,place_096726,,0
191,NCCRF1,Centre Commercial Lingostière,43.727674,7.188694,,0,place_096738,,1
193,CASCA2,Cascade de Gairaut,43.738021,7.25942,,0,place_096728,,0
194,CASCA3,Cascade de Gairaut,43.737999,7.259586,,0,place_096728,,0
195,CASTE3,Castel,43.70852,7.295528,,0,place_096731,,0
196,PCAUC3,Caucade,43.677524,7.216813,,0,place_096734,,0
197,PCAUC1,Caucade,43.677544,7.216975,,0,place_096734,,0
198,CASER7,Caucade / Place Sainte-Marguerite,43.68084,7.207381,,0,place_096735,,1
199,CIMIE9,Commandant Gérôme,43.724565,7.275327,,0,place_096788,,0
200,CIMIE8,Commandant Gérôme,43.724681,7.274368,,0,place_096788,,0
201,CIMIE1,Commandant Gérôme,43.724541,7.275408,,0,place_096788,,0
